Sent Value, RSSI, Tag
1,-40,0
2,-40,0
3,-39,0
4,-40,0
5,-39,0
6,-39,0
7,-40,0
8,-40,0
9,-40,0
10,-39,0
11,-40,0
12,-39,0
13,-38,0
14,-39,0
15,-38,0
16,-39,0
17,-38,0
18,-37,0
19,-38,0
20,-37,0
21,-37,0
22,-38,0
23,-37,0
24,-38,0
25,-37,0
26,-38,0
27,-40,0
28,-39,0
29,-41,0
30,-39,0
31,-40,0
32,-40,0
33,-40,0
34,-40,0
35,-41,0
36,-41,0
37,-40,0
38,-41,0
39,-42,0
40,-40,0
41,-39,0
42,-38,0
43,-38,0
44,-37,0
45,-37,0
46,-38,0
47,-38,0
48,-37,0
49,-38,0
50,-38,0
51,-38,0
52,-38,0
53,-39,0
54,-39,0
55,-39,0
56,-38,0
57,-39,0
58,-39,0
59,-39,0
60,-39,0
61,-39,0
62,-39,0
63,-39,0
64,-39,0
65,-39,0
66,-39,0
67,-39,0
68,-39,0
69,-38,0
70,-38,0
71,-39,0
72,-38,0
73,-38,0
74,-38,0
75,-39,0
76,-38,0
77,-38,0
78,-38,0
79,-38,0
80,-38,0
81,-38,0
82,-38,0
83,-38,0
84,-38,0
85,-38,0
86,-38,0
87,-38,0
88,-38,0
89,-38,0
90,-38,0
91,-38,0
92,-37,0
93,-38,0
94,-37,0
95,-38,0
96,-37,0
97,-38,0
98,-38,0
99,-38,0
100,-38,0
101,-37,0
102,-38,0
103,-38,0
104,-37,0
105,-38,0
106,-37,0
107,-37,0
108,-38,0
109,-38,0
110,-37,0
111,-37,0
112,-38,0
113,-37,0
114,-37,0
115,-37,0
116,-37,0
117,-37,0
118,-38,0
119,-38,0
120,-38,0
121,-38,0
122,-37,0
123,-38,0
124,-38,0
125,-38,0
126,-38,0
127,-38,0
128,-37,0
129,-37,0
130,-37,0
131,-37,0
132,-37,0
133,-37,0
134,-38,0
135,-38,0
136,-38,0
137,-37,0
138,-37,0
139,-38,0
140,-37,0
141,-37,0
142,-37,0
143,-38,0
144,-37,0
145,-38,0
146,-37,0
147,-37,0
148,-38,0
149,-37,0
150,-37,0
151,-38,0
152,-38,0
153,-38,0
154,-38,0
155,-37,0
156,-38,0
157,-38,0
158,-38,0
159,-38,0
160,-37,0
161,-38,0
162,-38,0
163,-38,0
164,-37,0
165,-37,0
166,-37,0
167,-37,0
168,-38,0
169,-38,0
170,-37,0
171,-37,0
172,-38,0
173,-38,0
174,-37,0
175,-38,0
176,-37,0
177,-37,0
178,-38,0
179,-37,0
180,-37,0
181,-37,0
182,-37,0
183,-38,0
184,-37,0
185,-37,0
186,-37,0
187,-37,0
188,-38,0
189,-37,0
190,-37,0
191,-38,0
192,-37,0
193,-37,0
194,-37,0
195,-37,0
196,-38,0
197,-39,0
198,-40,0
199,-42,0
200,-42,0
201,-41,0
202,-39,0
203,-37,0
204,-37,0
205,-37,0
206,-39,0
207,-43,1
208,-46,1
209,-50,1
210,-51,1
211,-46,1
212,-45,1
213,-48,1
214,-46,1
215,-46,1
216,-47,1
217,-45,1
218,-45,1
219,-43,1
220,-40,0
221,-38,0
222,-37,0
223,-38,0
224,-38,0
225,-37,0
226,-38,0
227,-40,0
228,-43,0
229,-43,0
230,-41,0
231,-41,0
232,-39,0
233,-37,0
234,-36,0
235,-37,0
236,-39,0
237,-40,0
238,-41,0
239,-40,0
240,-39,0
241,-41,0
242,-42,0
243,-43,0
244,-42,0
245,-41,0
246,-40,0
247,-41,0
248,-41,0
249,-41,0
250,-41,0
251,-41,0
252,-40,0
253,-39,0
254,-40,0
255,-40,0
256,-39,0
257,-39,0
258,-39,0
259,-39,0
260,-39,0
261,-39,0
262,-39,0
263,-39,0
264,-39,0
265,-39,0
266,-39,0
267,-39,0
268,-39,0
269,-39,0
270,-39,0
271,-40,0
272,-39,0
273,-39,0
274,-39,0
275,-39,0
276,-39,0
277,-39,0
278,-39,0
279,-40,0
280,-40,0
281,-40,0
282,-39,0
283,-40,0
284,-40,0
285,-40,0
286,-40,0
